Date,Description,Amount,PaymentMethod,Category
2022-11-16,Grocery,1256.72,Cash,Food & Dining
2020-11-25,Flight Ticket,570.06,Cash,Transportation
2020-01-18,Dinner,1714.77,Cash,Food & Dining
2020-12-14,Gym Membership,1513.6,Card,Entertainment
2020-02-08,Dinner,987.26,Cash,Food & Dining
2022-03-07,Movie,1369.56,Transfer,Entertainment
2020-08-26,Course Purchase,331.31,Transfer,Education
2020-10-02,Insurance,1233.27,Cash,Other
2020-12-05,Lunch,497.51,Transfer,Food & Dining
2020-10-13,Course Purchase,730.18,Cash,Education
2020-01-11,Lunch,60.21,UPI,Food & Dining
2021-12-21,Book Purchase,528.88,UPI,Entertainment
2019-05-19,Parking,534.72,Card,Transportation
2024-06-28,Internet Bill,1707.27,Cash,Utilities
2019-06-06,Grocery,528.82,Transfer,Food & Dining
2022-05-24,Online Shopping,314.49,Transfer,Shopping
2021-02-22,Movie,839.03,Cash,Entertainment
2021-09-15,Coffee,1760.41,UPI,Food & Dining
2023-10-30,Course Purchase,1849.21,Cash,Education
2019-06-25,Pharmacy,384.68,Cash,Health & Medical
2022-06-16,Pharmacy,1693.59,Transfer,Health & Medical
2019-12-13,Parking,214.89,Cash,Transportation
2019-02-18,Taxi,849.56,UPI,Transportation
2021-07-04,Tuition Fee,1108.67,Cash,Education
2023-07-18,Dinner,1175.33,Card,Food & Dining
2022-06-06,Online Shopping,299.9,Card,Shopping
2022-11-30,Dinner,2092.96,Card,Food & Dining
2021-05-29,Book Purchase,1264.81,UPI,Entertainment
2021-08-13,Coffee,1302.38,Cash,Food & Dining
2020-06-19,Internet Bill,5674.57,UPI,Utilities
2023-10-08,Gym Membership,1473.2,UPI,Education
2019-05-09,Pharmacy,530.18,Transfer,Health & Medical
2022-01-26,Internet Bill,206.57,Card,Utilities
2019-08-15,Subscription,472.87,Card,Entertainment
2023-11-01,Taxi,1906.07,Card,Transportation
2022-12-13,Parking,1958.2,Cash,Transportation
2021-07-18,Movie,202.71,Cash,Entertainment
2019-06-07,Fuel,946.56,Card,Transportation
2021-10-29,Taxi,978.87,UPI,Transportation
2019-03-17,Course Purchase,237.78,UPI,Education
2022-07-06,Parking,223.13,Card,Transportation
2019-02-16,Lunch,376.96,Card,Food & Dining
2024-08-21,Grocery,1312.68,Cash,Food & Dining
2021-08-05,Pharmacy,842.84,UPI,Health & Medical
2022-04-27,Insurance,998.8,Transfer,Health & Medical
2021-05-08,Course Purchase,14315.98,Cash,Education
2021-09-29,Bus,887.02,Card,Transportation
2022-09-23,Bus,1710.67,Transfer,Transportation
2023-10-13,Subscription,556.26,Cash,Entertainment
2023-09-14,Insurance,408.98,Card,Food & Dining
2022-09-02,Online Shopping,5046.77,UPI,Shopping
2019-03-22,Grocery,1570.2,Transfer,Food & Dining
2024-01-04,Gym Membership,472.7,Transfer,Food & Dining
2020-02-15,Dinner,611.42,UPI,Food & Dining
2022-01-10,Restaurant,1819.63,Card,Food & Dining
2024-08-29,Coffee,1865.09,UPI,Food & Dining
2024-09-22,Hotel,1579.21,Transfer,Shopping
2021-09-10,Flight Ticket,98.29,UPI,Transportation
2021-06-17,Grocery,863.99,Cash,Food & Dining
2023-02-24,Gym Membership,682.26,Cash,Transportation
2022-05-18,Bus,1175.61,Card,Transportation
2023-11-17,Electricity Bill,874.14,UPI,Utilities
2020-04-27,Restaurant,816.75,UPI,Food & Dining
2023-09-06,Internet Bill,1793.09,UPI,Utilities
2023-08-10,Taxi,12176.17,Transfer,Transportation
2019-06-25,Hotel,867.33,Cash,Shopping
2023-01-21,Flight Ticket,805.93,Card,Transportation
2024-11-12,Subscription,786.52,UPI,Entertainment
2023-08-16,Internet Bill,622.32,Cash,Utilities
2021-07-19,Lunch,1115.58,Card,Food & Dining
2024-08-13,Coffee,1610.11,UPI,Food & Dining
2019-11-18,Restaurant,1776.07,Cash,Food & Dining
2019-07-29,Internet Bill,1048.57,Card,Utilities
2019-04-21,Fuel,1357.95,Cash,Transportation
2020-10-28,Online Shopping,330.35,Card,Shopping
2021-06-19,Electricity Bill,1393.1,Transfer,Utilities
2023-07-09,Flight Ticket,1702.57,Cash,Transportation
2023-01-14,Coffee,536.1,Transfer,Food & Dining
2019-07-09,Parking,140.94,UPI,Transportation
2024-06-12,Dinner,1240.68,Transfer,Food & Dining
2024-01-21,Parking,1253.51,UPI,Transportation
2024-11-15,Fuel,1025.8,Card,Transportation
2021-03-25,Grocery,1049.05,UPI,Food & Dining
2023-12-25,Internet Bill,765.0,Card,Utilities
2021-11-06,Flight Ticket,1670.98,UPI,Transportation
2023-02-18,Online Shopping,112.87,Cash,Shopping
2023-02-21,Grocery,1338.69,Transfer,Food & Dining
2023-08-25,Movie,1653.13,Card,Entertainment
2020-03-14,Movie,1083.25,Cash,Entertainment
2023-10-08,Movie,1228.67,UPI,Entertainment
2021-10-27,Taxi,861.05,Card,Transportation
2021-12-04,Fuel,1880.96,Transfer,Transportation
2022-12-08,Subscription,1179.92,UPI,Entertainment
2022-01-14,Bus,1494.23,Cash,Transportation
2020-07-04,Bus,1222.94,Transfer,Transportation
2024-10-08,Pharmacy,1541.99,Transfer,Health & Medical
2023-12-18,Parking,1287.43,Transfer,Transportation
2020-05-01,Course Purchase,1471.56,Cash,Education
2024-07-04,Grocery,665.48,Cash,Food & Dining
2024-01-05,Grocery,1345.36,UPI,Food & Dining
2020-01-06,Dinner,718.7,Cash,Food & Dining
2024-01-06,Book Purchase,422.76,Cash,Entertainment
2024-10-16,Internet Bill,1867.28,UPI,Utilities
2020-12-15,Online Shopping,399.45,UPI,Shopping
2019-03-14,Grocery,14615.24,UPI,Food & Dining
2019-03-20,Tuition Fee,1485.1,UPI,Education
2024-09-29,Hotel,980.67,Cash,Shopping
2022-01-19,Lunch,1802.87,Cash,Food & Dining
2019-10-12,Book Purchase,795.51,Transfer,Entertainment
2021-12-03,Taxi,1293.31,Transfer,Transportation
2019-08-13,Parking,1938.73,Card,Transportation
2019-08-20,Gym Membership,483.29,Cash,Other
2023-08-17,Insurance,568.39,Transfer,Entertainment
2022-06-15,Bus,1774.87,Transfer,Transportation
2021-03-14,Insurance,1793.4,Cash,Shopping
2022-01-04,Flight Ticket,293.32,Transfer,Transportation
2021-08-26,Fuel,1533.22,Cash,Transportation
2022-02-17,Movie,1750.31,Cash,Entertainment
2022-08-29,Lunch,1886.25,Cash,Food & Dining
2024-04-23,Dinner,1292.16,UPI,Food & Dining
2023-03-23,Flight Ticket,1429.96,Card,Transportation
2021-07-20,Insurance,8683.13,Cash,Health & Medical
2021-05-14,Restaurant,1837.0,Transfer,Food & Dining
2024-03-29,Pharmacy,284.58,Cash,Health & Medical
2024-06-11,Tuition Fee,1386.05,Card,Education
2022-09-17,Subscription,1281.48,Cash,Entertainment
2019-12-19,Coffee,103.98,Transfer,Food & Dining
2024-04-08,Taxi,1421.57,UPI,Transportation
2022-07-01,Insurance,193.25,Cash,Entertainment
2023-09-08,Grocery,1220.27,Cash,Food & Dining
2020-09-27,Lunch,592.8,Transfer,Food & Dining
2020-02-13,Pharmacy,1486.69,Card,Health & Medical
2019-12-01,Flight Ticket,10935.51,UPI,Transportation
2019-09-06,Restaurant,869.85,Transfer,Food & Dining
2024-12-17,Fuel,258.47,UPI,Transportation
2019-04-02,Insurance,1657.66,Cash,Education
2022-12-07,Subscription,1348.97,Card,Entertainment
2020-02-10,Online Shopping,1390.76,UPI,Shopping
2024-02-14,Tuition Fee,1418.02,UPI,Education
2024-07-30,Grocery,1907.82,Card,Food & Dining
2021-04-16,Insurance,946.78,Card,Entertainment
2024-09-13,Parking,1103.43,UPI,Transportation
2020-11-07,Insurance,1454.24,UPI,Shopping
2022-07-14,Flight Ticket,979.82,Transfer,Transportation
2024-09-25,Restaurant,1315.26,Transfer,Food & Dining
2020-09-17,Grocery,4419.77,Card,Food & Dining
2020-06-13,Dinner,1366.59,Transfer,Food & Dining
2023-08-03,Movie,785.34,Card,Entertainment
2024-09-11,Subscription,1898.43,Cash,Entertainment
2020-08-12,Fuel,736.84,Cash,Transportation
2023-08-23,Bus,1289.6,Cash,Transportation
2020-11-02,Internet Bill,1703.04,UPI,Utilities
2019-02-07,Subscription,1897.86,UPI,Entertainment
2020-03-11,Taxi,675.04,Card,Transportation
2024-10-23,Pharmacy,845.26,Transfer,Health & Medical
2024-08-31,Internet Bill,647.5,Transfer,Utilities
2019-05-30,Grocery,154.72,Card,Food & Dining
2023-03-29,Pharmacy,1014.21,UPI,Health & Medical
2019-06-08,Pharmacy,590.58,UPI,Health & Medical
2020-09-06,Subscription,749.37,Cash,Entertainment
2019-06-02,Course Purchase,804.12,Card,Education
2019-07-05,Restaurant,50.6,Cash,Food & Dining
2024-04-14,Subscription,1718.81,Transfer,Entertainment
2021-01-13,Electricity Bill,77.3,UPI,Utilities
2019-07-17,Taxi,755.86,Card,Transportation
2020-02-03,Grocery,916.78,Transfer,Food & Dining
2022-08-24,Course Purchase,665.26,Cash,Education
2020-12-22,Movie,1973.09,Card,Entertainment
2019-12-31,Coffee,1525.76,Transfer,Food & Dining
2020-11-25,Online Shopping,1684.82,UPI,Shopping
2024-10-07,Lunch,1710.03,Transfer,Food & Dining
2020-03-22,Dinner,830.37,UPI,Food & Dining
2024-01-10,Taxi,1593.87,Card,Transportation
2023-12-21,Pharmacy,1656.97,Cash,Health & Medical
2020-06-05,Hotel,582.68,Transfer,Shopping
2021-08-07,Online Shopping,292.14,Cash,Shopping
2023-02-21,Restaurant,856.06,Card,Food & Dining
2023-03-27,Flight Ticket,1010.59,Cash,Transportation
2019-04-28,Restaurant,242.86,Cash,Food & Dining
2024-03-28,Course Purchase,418.04,Transfer,Education
2021-07-24,Gym Membership,470.82,Transfer,Shopping
2020-12-13,Fuel,1851.61,UPI,Transportation
2024-05-05,Flight Ticket,617.64,Transfer,Transportation
2019-10-12,Insurance,428.93,UPI,Health & Medical
2019-06-01,Hotel,1777.7,UPI,Shopping
2021-09-16,Book Purchase,1550.44,UPI,Entertainment
2023-11-04,Parking,1204.25,Cash,Transportation
2020-03-15,Movie,1478.17,Transfer,Entertainment
2021-04-01,Movie,929.71,Card,Entertainment
2024-11-17,Movie,1489.46,Cash,Entertainment
2020-10-12,Lunch,702.96,UPI,Food & Dining
2020-06-15,Fuel,7078.79,UPI,Transportation
2019-06-02,Insurance,1997.17,UPI,Transportation
2022-12-17,Book Purchase,1937.29,Card,Entertainment
2022-06-05,Online Shopping,519.69,Transfer,Shopping
2023-12-08,Pharmacy,1904.53,UPI,Health & Medical
2020-02-15,Dinner,950.46,UPI,Food & Dining
2023-08-13,Subscription,1741.44,Cash,Entertainment
2021-09-07,Gym Membership,75.82,Cash,Shopping
2019-02-28,Internet Bill,1159.59,Card,Utilities
2020-09-25,Online Shopping,1703.91,UPI,Shopping
2023-07-11,Internet Bill,65.85,Transfer,Utilities
2019-01-25,Internet Bill,299.2,Card,Utilities
2020-08-13,Gym Membership,959.11,UPI,Health & Medical
2019-09-23,Subscription,1415.46,Card,Entertainment
2023-04-12,Book Purchase,598.66,Card,Entertainment
2019-03-26,Taxi,243.97,Transfer,Transportation
2024-12-22,Pharmacy,13902.78,Card,Health & Medical
2019-06-01,Hotel,1487.42,Card,Shopping
2023-12-15,Lunch,14145.53,UPI,Food & Dining
2024-10-27,Tuition Fee,1648.47,Cash,Education
2022-09-05,Lunch,471.06,Cash,Food & Dining
2021-08-26,Course Purchase,3339.88,Card,Education
2022-03-11,Online Shopping,1426.8,Card,Shopping
2024-04-22,Movie,663.02,UPI,Entertainment
2020-07-05,Grocery,13958.01,Cash,Food & Dining
2023-05-05,Fuel,1125.69,Cash,Transportation
2022-10-03,Parking,728.19,Card,Transportation
2020-09-03,Dinner,1427.57,Card,Food & Dining
2024-02-05,Restaurant,695.53,Card,Food & Dining
2021-04-08,Course Purchase,1496.25,Card,Education
2019-06-04,Movie,137.62,Card,Entertainment
2021-07-18,Taxi,1651.92,Cash,Transportation
2024-10-31,Coffee,12380.81,Transfer,Food & Dining
2024-02-02,Electricity Bill,302.4,Transfer,Utilities
2020-12-05,Pharmacy,1191.75,Transfer,Health & Medical
2019-03-02,Pharmacy,849.07,Cash,Health & Medical
2023-07-19,Internet Bill,204.54,Card,Utilities
2021-10-11,Parking,1215.39,Transfer,Transportation
2023-01-04,Bus,383.69,Transfer,Transportation
2023-03-09,Coffee,1040.65,Cash,Food & Dining
2019-12-15,Bus,1854.05,UPI,Transportation
2024-12-29,Pharmacy,1958.42,Cash,Health & Medical
2020-06-08,Subscription,42.33,UPI,Entertainment
2019-04-15,Pharmacy,272.82,Card,Health & Medical
2021-11-20,Coffee,655.12,Transfer,Food & Dining
2021-04-04,Movie,889.39,Card,Entertainment
2019-10-17,Flight Ticket,1135.43,Transfer,Transportation
2023-01-25,Lunch,1910.97,Cash,Food & Dining
2022-07-20,Coffee,1263.16,Card,Food & Dining
2022-03-09,Grocery,360.78,Transfer,Food & Dining
2023-08-05,Book Purchase,1353.91,Cash,Entertainment
2023-01-23,Internet Bill,7100.63,Cash,Utilities
2020-05-12,Grocery,1349.91,UPI,Food & Dining
2021-08-01,Coffee,1890.16,UPI,Food & Dining
2021-05-16,Bus,1812.67,Transfer,Transportation
2024-09-09,Bus,1784.85,UPI,Transportation
2021-03-23,Movie,944.28,UPI,Entertainment
2022-05-20,Coffee,86.77,Card,Food & Dining
2020-03-01,Coffee,454.74,UPI,Food & Dining
2024-06-27,Flight Ticket,1027.66,UPI,Transportation
2019-01-17,Bus,192.41,Transfer,Transportation
2023-01-23,Hotel,621.35,UPI,Shopping
2021-04-03,Dinner,1254.2,UPI,Food & Dining
2020-10-21,Bus,2135.38,Cash,Transportation
2024-07-17,Dinner,1524.64,Transfer,Food & Dining
2020-02-11,Coffee,1092.01,UPI,Food & Dining
2020-11-20,Taxi,41.8,Card,Transportation
2020-06-22,Movie,1085.2,UPI,Entertainment
2024-05-25,Electricity Bill,197.0,UPI,Utilities
2021-12-09,Gym Membership,1193.09,UPI,Health & Medical
2023-02-28,Dinner,623.73,Card,Food & Dining
2021-08-31,Online Shopping,1193.44,Transfer,Shopping
2019-01-29,Restaurant,1950.33,UPI,Food & Dining
2019-03-27,Internet Bill,836.38,Card,Utilities
2024-12-16,Coffee,1550.04,Transfer,Food & Dining
2022-11-08,Online Shopping,1417.96,UPI,Shopping
2019-06-06,Online Shopping,932.86,UPI,Shopping
2020-02-13,Electricity Bill,7305.4,Card,Utilities
2022-05-29,Restaurant,1143.86,Card,Food & Dining
2020-12-11,Pharmacy,1628.37,Transfer,Health & Medical
2024-05-24,Tuition Fee,78.66,Cash,Education
2021-05-19,Parking,1419.32,Transfer,Transportation
2020-05-19,Hotel,27.0,Cash,Shopping
2024-07-10,Electricity Bill,743.77,Transfer,Utilities
2023-04-01,Internet Bill,1451.33,Transfer,Utilities
2019-07-22,Book Purchase,1533.8,UPI,Entertainment
2024-07-25,Insurance,1514.11,Card,Entertainment
2021-12-28,Fuel,1845.87,Card,Transportation
2019-08-09,Book Purchase,1044.74,Cash,Entertainment
2023-03-05,Subscription,389.95,Cash,Entertainment
2023-06-02,Gym Membership,1290.72,Card,Education
2023-07-20,Bus,1912.58,UPI,Transportation
2022-05-09,Flight Ticket,1462.78,UPI,Transportation
2022-05-10,Taxi,1047.46,Cash,Transportation
2022-03-21,Book Purchase,536.68,UPI,Entertainment
2021-09-02,Lunch,529.55,UPI,Food & Dining
2021-02-17,Bus,1800.92,UPI,Transportation
2022-10-03,Fuel,782.42,Cash,Transportation
2020-01-11,Insurance,776.62,UPI,Transportation
2019-04-07,Course Purchase,353.51,Card,Education
2020-12-30,Parking,1306.57,UPI,Transportation
2023-04-05,Dinner,1476.27,Transfer,Food & Dining
2019-03-08,Pharmacy,1674.32,Card,Health & Medical
2022-07-19,Hotel,1781.33,UPI,Shopping
2020-09-28,Tuition Fee,422.06,Card,Education
2020-02-07,Book Purchase,1643.98,UPI,Entertainment
2022-04-03,Bus,11807.38,UPI,Transportation
2019-07-29,Flight Ticket,1526.02,Card,Transportation
2019-08-13,Pharmacy,70.5,UPI,Health & Medical
2023-01-07,Grocery,185.86,UPI,Food & Dining
2024-04-02,Movie,73.46,Transfer,Entertainment
2020-10-22,Bus,1895.19,Transfer,Transportation
2022-04-11,Tuition Fee,1024.43,UPI,Education
2021-08-08,Gym Membership,1178.11,UPI,Utilities
2024-02-17,Parking,2072.34,Transfer,Transportation
2024-02-04,Dinner,1578.18,UPI,Food & Dining
2021-02-03,Restaurant,8085.4,Card,Food & Dining
2020-08-16,Bus,1271.07,Card,Transportation
2022-06-18,Taxi,2491.41,UPI,Transportation
2021-07-09,Coffee,8187.25,Cash,Food & Dining
2019-03-22,Subscription,106.46,Cash,Entertainment
2021-12-31,Hotel,720.06,Transfer,Shopping
2022-10-05,Flight Ticket,363.47,Cash,Transportation
2021-06-02,Taxi,387.16,Transfer,Transportation
2021-04-16,Online Shopping,413.76,Card,Shopping
2023-04-30,Bus,1094.28,UPI,Transportation
2022-03-14,Subscription,1473.0,Transfer,Entertainment
2022-09-10,Subscription,1690.91,Cash,Entertainment
2023-07-23,Lunch,3148.68,UPI,Food & Dining
2020-10-27,Coffee,1988.85,Card,Food & Dining
2020-10-13,Lunch,14673.15,UPI,Food & Dining
2021-01-04,Bus,6621.53,Cash,Transportation
2023-03-08,Lunch,140.45,Transfer,Food & Dining
2023-12-08,Movie,1980.24,Cash,Entertainment
2020-06-24,Restaurant,1229.9,UPI,Food & Dining
2023-04-07,Subscription,1785.68,Cash,Entertainment
2019-07-24,Fuel,1213.82,Cash,Transportation
2020-04-25,Parking,669.89,Transfer,Transportation
2021-10-29,Electricity Bill,1604.31,UPI,Utilities
2023-09-27,Internet Bill,6862.2,Transfer,Utilities
2020-07-17,Book Purchase,107.11,Card,Entertainment
2022-06-21,Gym Membership,1103.93,Card,Utilities
2020-03-28,Internet Bill,510.19,Cash,Utilities
2024-05-17,Pharmacy,102.45,Transfer,Health & Medical
2022-11-30,Movie,1562.9,Card,Entertainment
2019-09-17,Tuition Fee,285.99,Cash,Education
2024-08-20,Electricity Bill,1950.16,Card,Utilities
2023-12-05,Online Shopping,1555.47,Cash,Shopping
2020-07-27,Fuel,196.88,UPI,Transportation
2022-09-07,Course Purchase,705.11,Card,Education
2021-02-12,Grocery,1568.82,Card,Food & Dining
2020-04-10,Parking,1744.64,Cash,Transportation
2020-02-03,Coffee,4135.88,Card,Food & Dining
2022-08-30,Movie,1451.8,UPI,Entertainment
2019-10-27,Course Purchase,42.38,Card,Education
2022-06-01,Lunch,901.76,Cash,Food & Dining
2022-04-06,Electricity Bill,891.74,Cash,Utilities
2020-03-16,Book Purchase,1469.24,Card,Entertainment
2024-10-25,Hotel,33.71,Transfer,Shopping
2020-11-07,Hotel,808.72,Transfer,Shopping
2021-12-24,Bus,517.95,Cash,Transportation
2020-08-05,Internet Bill,1199.6,Cash,Utilities
2022-01-09,Internet Bill,1274.61,Transfer,Utilities
2019-09-19,Coffee,1406.25,Card,Food & Dining
2020-12-12,Flight Ticket,557.29,UPI,Transportation
2020-02-18,Coffee,561.52,Card,Food & Dining
2019-03-01,Parking,189.56,Cash,Transportation
2021-05-08,Insurance,1983.87,UPI,Transportation
2020-08-22,Flight Ticket,6846.72,Cash,Transportation
2024-11-25,Hotel,690.5,UPI,Shopping
2022-02-11,Insurance,1122.71,UPI,Utilities
2020-09-21,Fuel,136.88,UPI,Transportation
2020-02-28,Restaurant,938.11,Transfer,Food & Dining
2020-04-04,Parking,469.86,UPI,Transportation
2021-07-05,Book Purchase,772.25,Transfer,Entertainment
2024-12-04,Grocery,1041.75,Cash,Food & Dining
2019-10-17,Hotel,973.14,Card,Shopping
2023-11-07,Coffee,5932.03,Cash,Food & Dining
2021-07-20,Grocery,1054.24,Cash,Food & Dining
2023-05-28,Electricity Bill,592.83,Transfer,Utilities
2021-06-30,Grocery,192.23,Card,Food & Dining
2022-05-21,Hotel,1911.69,Cash,Shopping
2019-11-08,Fuel,1168.33,Transfer,Transportation
2020-06-29,Pharmacy,1083.83,Card,Health & Medical
2019-05-29,Tuition Fee,1591.23,UPI,Education
2024-04-02,Taxi,1119.36,Cash,Transportation
2019-05-03,Flight Ticket,725.7,Transfer,Transportation
2024-06-09,Parking,1499.66,Cash,Transportation
2022-08-03,Bus,1562.43,UPI,Transportation
2019-02-09,Tuition Fee,429.65,Cash,Education
2023-02-07,Taxi,968.3,Transfer,Transportation
2022-08-02,Fuel,326.09,UPI,Transportation
2019-12-27,Online Shopping,541.72,Cash,Shopping
2023-09-29,Hotel,1689.87,Cash,Shopping
2022-04-17,Gym Membership,1405.41,Cash,Health & Medical
2023-03-07,Fuel,1226.59,UPI,Transportation
2019-02-13,Bus,116.85,Cash,Transportation
2019-08-13,Bus,197.88,Transfer,Transportation
2022-02-01,Subscription,1612.5,Cash,Entertainment
2022-06-17,Hotel,576.19,UPI,Shopping
2023-03-19,Online Shopping,342.18,UPI,Shopping
2019-07-03,Book Purchase,3073.41,Transfer,Entertainment
2019-10-24,Book Purchase,34.8,Card,Entertainment
2020-11-30,Course Purchase,1021.47,UPI,Education
2024-07-07,Tuition Fee,245.79,Transfer,Education
2020-05-30,Course Purchase,1037.63,Cash,Education
2023-11-16,Course Purchase,785.11,Card,Education
2020-06-23,Flight Ticket,1106.05,Cash,Transportation
2023-02-27,Internet Bill,9095.12,Cash,Utilities
2019-10-29,Taxi,1119.81,Transfer,Transportation
2023-09-10,Online Shopping,89.88,Card,Shopping
2021-08-08,Lunch,1780.7,Cash,Food & Dining
2023-02-09,Insurance,1898.28,UPI,Other
2023-07-22,Grocery,619.74,Transfer,Food & Dining
2024-03-08,Electricity Bill,1047.29,Card,Utilities
2023-09-19,Course Purchase,1598.25,UPI,Education
2022-02-22,Fuel,1375.73,UPI,Transportation
2022-10-05,Tuition Fee,3624.66,UPI,Education
2020-04-28,Gym Membership,1697.59,Card,Food & Dining
2024-06-06,Electricity Bill,689.39,UPI,Utilities
2024-04-07,Grocery,1320.26,Card,Food & Dining
2019-11-29,Grocery,912.93,UPI,Food & Dining
2022-04-05,Dinner,11538.24,UPI,Food & Dining
2022-08-24,Gym Membership,976.18,UPI,Health & Medical
2021-07-09,Dinner,152.39,Transfer,Food & Dining
2019-12-30,Movie,4754.81,Cash,Entertainment
2021-09-19,Flight Ticket,848.2,Card,Transportation
2019-06-10,Electricity Bill,1060.27,Cash,Utilities
2020-08-18,Insurance,369.32,Transfer,Shopping
2023-12-04,Subscription,175.46,Cash,Entertainment
2024-09-17,Lunch,2912.85,UPI,Food & Dining
2022-03-05,Electricity Bill,780.6,Cash,Utilities
2024-10-18,Parking,1476.68,UPI,Transportation
2022-03-28,Lunch,5462.31,Card,Food & Dining
2020-11-22,Online Shopping,826.5,Card,Shopping
2024-11-02,Movie,14675.73,Cash,Entertainment
2020-07-27,Course Purchase,304.94,UPI,Education
2020-06-05,Online Shopping,847.62,Transfer,Shopping
2024-09-22,Pharmacy,2570.67,UPI,Health & Medical
2021-08-15,Restaurant,750.33,UPI,Food & Dining
2024-09-28,Hotel,1788.05,Transfer,Shopping
2019-03-25,Lunch,1657.74,Card,Food & Dining
2023-11-21,Hotel,719.75,Transfer,Shopping
2023-04-11,Book Purchase,297.43,Cash,Entertainment
2021-06-27,Book Purchase,1913.43,UPI,Entertainment
2023-11-14,Grocery,643.75,UPI,Food & Dining
2024-05-18,Parking,2103.31,UPI,Transportation
2022-11-17,Lunch,408.52,UPI,Food & Dining
2021-12-29,Parking,1816.26,Transfer,Transportation
2024-09-20,Bus,1738.56,Cash,Transportation
2024-04-24,Lunch,305.6,Cash,Food & Dining
2024-12-17,Subscription,1634.49,Card,Entertainment
2023-02-14,Gym Membership,1473.56,Transfer,Health & Medical
2024-03-15,Grocery,1373.29,Cash,Food & Dining
2020-11-05,Book Purchase,4815.41,Card,Entertainment
2023-06-04,Gym Membership,594.12,UPI,Food & Dining
2024-08-04,Parking,1327.98,Transfer,Transportation
2019-02-14,Insurance,1069.26,Transfer,Shopping
2024-05-22,Course Purchase,1752.76,UPI,Education
2023-07-05,Subscription,739.37,Transfer,Entertainment
2024-01-16,Subscription,515.86,Transfer,Entertainment
2021-02-25,Tuition Fee,70.15,UPI,Education
2023-12-26,Internet Bill,778.46,Cash,Utilities
2021-11-12,Dinner,636.68,Cash,Food & Dining
2024-04-06,Bus,1118.72,Card,Transportation
2019-05-30,Flight Ticket,726.96,Card,Transportation
2020-08-17,Restaurant,1403.73,Cash,Food & Dining
2023-10-28,Book Purchase,408.55,Transfer,Entertainment
2024-05-23,Gym Membership,173.36,UPI,Entertainment
2021-08-06,Subscription,89.73,Cash,Entertainment
2024-05-28,Tuition Fee,1271.43,Transfer,Education
2024-06-30,Taxi,1990.56,UPI,Transportation
2023-12-17,Flight Ticket,1755.75,Card,Transportation
2022-05-25,Pharmacy,638.67,Cash,Health & Medical
2019-02-01,Hotel,1628.49,Cash,Shopping
2024-09-26,Lunch,419.89,Transfer,Food & Dining
2021-02-20,Restaurant,1371.38,Cash,Food & Dining
2023-06-22,Flight Ticket,1379.78,UPI,Transportation
2022-04-05,Lunch,12952.72,Card,Food & Dining
2022-06-24,Course Purchase,1477.42,Transfer,Education
2020-06-11,Gym Membership,1473.51,Card,Other
2024-05-25,Gym Membership,30.14,Cash,Food & Dining
2020-12-19,Lunch,192.51,UPI,Food & Dining
2024-03-08,Grocery,1180.29,UPI,Food & Dining
